pos	word
adjectives	a
adjectives	all
adjectives	an
adjectives	any
adjectives	best
adjectives	better
adjectives	big
adjectives	black
adjectives	blue
adjectives	both
adjectives	brown
adjectives	clean
adjectives	cold
adjectives	eight
adjectives	every
adjectives	five
adjectives	four
adjectives	full
adjectives	funny
adjectives	good
adjectives	green
adjectives	hot
adjectives	kind
adjectives	light
adjectives	little
adjectives	long
adjectives	many
adjectives	new
adjectives	old
adjectives	one
adjectives	own
adjectives	pretty
adjectives	red
adjectives	right
adjectives	round
adjectives	seven
adjectives	six
adjectives	small
adjectives	some
adjectives	ten
adjectives	the
adjectives	three
adjectives	two
adjectives	warm
adjectives	white
adjectives	yellow
prepositions	about
prepositions	after
prepositions	at
prepositions	by
prepositions	down
prepositions	for
prepositions	from
prepositions	in
prepositions	into
prepositions	of
prepositions	on
prepositions	over
prepositions	to
prepositions	under
prepositions	upon
prepositions	with
conjunctions	and
conjunctions	as
conjunctions	because
conjunctions	but
conjunctions	if
conjunctions	or
adverbs	again
adverbs	always
adverbs	around
adverbs	away
adverbs	before
adverbs	far
adverbs	fast
adverbs	first
adverbs	here
adverbs	how
adverbs	just
adverbs	much
adverbs	never
adverbs	no
adverbs	not
adverbs	now
adverbs	off
adverbs	once
adverbs	only
adverbs	out
adverbs	so
adverbs	soon
adverbs	then
adverbs	there
adverbs	today
adverbs	together
adverbs	too
adverbs	up
adverbs	very
adverbs	well
adverbs	when
adverbs	where
adverbs	why
adverbs	yes
nouns	apple
nouns	baby
nouns	back
nouns	ball
nouns	bear
nouns	bed
nouns	bell
nouns	bird
nouns	birthday
nouns	boat
nouns	box
nouns	boy
nouns	bread
nouns	brother
nouns	cake
nouns	car
nouns	cat
nouns	chair
nouns	chicken
nouns	children
nouns	Christmas
nouns	coat
nouns	corn
nouns	cow
nouns	day
nouns	dog
nouns	doll
nouns	door
nouns	duck
nouns	egg
nouns	eye
nouns	farm
nouns	farmer
nouns	father
nouns	feet
nouns	fire
nouns	fish
nouns	floor
nouns	flower
nouns	game
nouns	garden
nouns	girl
nouns	goodbye
nouns	grass
nouns	ground
nouns	hand
nouns	head
nouns	hill
nouns	home
nouns	horse
nouns	house
nouns	kitty
nouns	leg
nouns	letter
nouns	man
nouns	men
nouns	milk
nouns	money
nouns	morning
nouns	mother
nouns	name
nouns	nest
nouns	night
nouns	paper
nouns	party
nouns	picture
nouns	pig
nouns	rabbit
nouns	rain
nouns	ring
nouns	robin
nouns	Santa Claus
nouns	school
nouns	seed
nouns	sheep
nouns	shoe
nouns	sister
nouns	snow
nouns	song
nouns	squirrel
nouns	stock
nouns	street
nouns	sun
nouns	table
nouns	thing
nouns	time
nouns	top
nouns	toy
nouns	tree
nouns	watch
nouns	water
nouns	way
nouns	wind
nouns	window
nouns	wood
pronouns	he
pronouns	her
pronouns	him
pronouns	his
pronouns	I
pronouns	it
pronouns	its
pronouns	me
pronouns	my
pronouns	myself
pronouns	our
pronouns	she
pronouns	that
pronouns	their
pronouns	them
pronouns	these
pronouns	they
pronouns	this
pronouns	those
pronouns	us
pronouns	we
pronouns	what
pronouns	which
pronouns	who
pronouns	you
pronouns	your
verbs	am
verbs	are
verbs	ask
verbs	ate
verbs	be
verbs	been
verbs	bring
verbs	buy
verbs	call
verbs	came
verbs	can
verbs	carry
verbs	come
verbs	could
verbs	cut
verbs	did
verbs	do
verbs	does
verbs	done
verbs	don't
verbs	draw
verbs	drink
verbs	eat
verbs	fall
verbs	find
verbs	fly
verbs	found
verbs	gave
verbs	get
verbs	give
verbs	go
verbs	goes
verbs	going
verbs	got
verbs	grow
verbs	had
verbs	has
verbs	have
verbs	help
verbs	hold
verbs	hurt
verbs	is
verbs	jump
verbs	keep
verbs	know
verbs	laugh
verbs	let
verbs	like
verbs	live
verbs	look
verbs	made
verbs	make
verbs	may
verbs	must
verbs	open
verbs	pick
verbs	play
verbs	please
verbs	pull
verbs	put
verbs	ran
verbs	read
verbs	ride
verbs	run
verbs	said
verbs	saw
verbs	say
verbs	see
verbs	shall
verbs	show
verbs	sing
verbs	sit
verbs	sleep
verbs	start
verbs	stop
verbs	take
verbs	tell
verbs	thank
verbs	think
verbs	try
verbs	use
verbs	walk
verbs	want
verbs	was
verbs	wash
verbs	went
verbs	were
verbs	will
verbs	wish
verbs	work
verbs	would
verbs	write
